asset_id,entity_type,world_id,name,category,stage,priority,dependency,status,assignee
NARIS-ENV-W04-0001,ENVIRONMENT,W04,Overgrown Ruins,LEVEL_ART,BLOCKOUT,P1,NARIS-WORLD-W04,NOT_STARTED,ArtTeam
NARIS-ENV-W04-0002,ENVIRONMENT,W04,Twisted Canopy,LEVEL_ART,BLOCKOUT,P1,NARIS-WORLD-W04,NOT_STARTED,ArtTeam
NARIS-PRP-W04-0001,PROP,W04,Memory Shrine (Interactive),INTERACTIVE,BLOCKOUT,P0,NARIS-WORLD-W04,IN_PROGRESS,DesignTeam
NARIS-PRP-W04-0002,PROP,W04,Bone Gate,DOOR_MECHANISM,CONCEPT,P1,NARIS-CIN-W04-0006,NOT_STARTED,DesignTeam
NARIS-NPC-W04-0001,NPC,W04,Elder Sage Thorne,QUEST_GIVER,CONCEPT,P0,NARIS-WORLD-W04,NOT_STARTED,NarrativeTeam
NARIS-NPC-W04-0002,NPC,W04,Lost Warden Spirit,GUIDE,CONCEPT,P1,NARIS-ENM-W04-0003,NOT_STARTED,NarrativeTeam
NARIS-QST-W04-0001,QUEST,W04,The Corrupted Heart,MAIN_QUEST,CONCEPT,P0,NARIS-CIN-W04-0001,NOT_STARTED,DesignTeam
NARIS-QST-W04-0002,QUEST,W04,Thorn's Memory,SIDE_QUEST,CONCEPT,P1,NARIS-NPC-W04-0001,NOT_STARTED,DesignTeam
NARIS-BAL-W04-0001,BALANCE,W04,Bone Guard Stats (HP/DMG),ENEMY_STATS,CONCEPT,P0,NARIS-ENM-W04-0003,NOT_STARTED,GameBalance
NARIS-BAL-W04-0002,BALANCE,W04,Aether Wisp Speed,ENEMY_STATS,CONCEPT,P1,NARIS-ENM-W04-0002,NOT_STARTED,GameBalance
NARIS-UI-W04-0001,UI,W04,Boss Health Bar (Bone Beast),HUD_ELEMENT,BLOCKOUT,P0,NARIS-ENM-W04-0004,IN_PROGRESS,UITeam
NARIS-LORE-W04-0001,LORE,W04,Origin of the Bone Beast,STORY_FRAGMENT,CONCEPT,P2,NARIS-ENM-W04-0004,NOT_STARTED,NarrativeTeam
NARIS-LORE-W04-0002,LORE,W04,The Celestial Wolf's Promise,STORY_FRAGMENT,CONCEPT,P2,NARIS-LNK-W04-WOLF-0001,NOT_STARTED,NarrativeTeam
NARIS-MUS-W04-0001,MUSIC,W04,Forest Exploration Loop,AMBIENCE_MUSIC,PRODUCTION,P1,NARIS-WORLD-W04,IN_PROGRESS,AudioTeam
NARIS-MUS-W04-0002,MUSIC,W04,Bone Beast Battle Theme,BATTLE_MUSIC,CONCEPT,P0,NARIS-ENM-W04-0004,NOT_STARTED,AudioTeam
NARIS-LNK-W04-BOSS-FIGHT-0001,INTEGRATION,GLOBAL,Bone Beast Phase/VFX/Music Sync,BOSS_INTEGRATION,DEFINED,P0,NARIS-ENM-W04-0004,IN_PROGRESS,TechLead
NARIS-QA-W04-0001,QA,W04,Bone Beast Collision Boxes,TEST_CASE,PLANNED,P1,NARIS-ENM-W04-0004,NOT_STARTED,QATeam
